TEAM;CONF
Akron;MAC
Alabama_A&M;SWAC
Arizona;P12
Arkansas;SEC
Auburn;SEC
Baylor;B12
Belmont;OVC
Bryant;NEC
Butler;BE
BYU;WCC
Colgate;Pat
Colorado;P12
Creighton;BE
Dayton;A10
Duke;ACC
Florida;SEC
Florida_St.;ACC
Georgia_St.;SB
Gonzaga;WCC
Hawaii;BW
Houston;Amer
Illinois;B10
Indiana;B10
Iowa;B10
Jacksonville;ASun
Kansas;B12
Kentucky;SEC
Liberty;BSth
Louisiana_Tech;CUSA
Louisville;ACC
LSU;SEC
Marquette;BE
Maryland;B10
Memphis;Amer
Michigan;B10
Michigan_St.;B10
Minnesota;B10
New_Mexico_St.;WAC
North_Carolina_Central;MEAC
Northern_Iowa;MVC
Ohio_St.;B10
Oklahoma;B12
Oregon;P12
Oregon_St.;P12
Penn_St.;B10
Purdue;B10
Richmond;A10
Rider;MAAC
Rutgers;B10
Sacramento_St.;BSky
Saint_Mary's;WCC
San_Diego_St.;MWC
Seton_Hall;BE
South_Dakota_St.;Sum
Stanford;P12
Stephen_F._Austin;Slnd
UNC_Greensboro;SC
VCU;A10
Vermont;AE
Villanova;BE
Virginia_Tech;ACC
Washington;P12
West_Virginia;B12
Wichita_St.;Amer
William_&_Mary;CAA
Wright_St.;Horz
Xavier;BE
Yale;Ivy
